created_at, provider, input_len, billed_prompt_len, billed_output_len, cached_tokens, duration (ms)
1760720332, meta, 30000, 30796, 11, 0, 2422
1760720335, meta, 100000, 105902, 13, 0, 9295
1760720346, meta, 100000, 105902, 65, 0, 10137
1760720526, meta, 10, 28, 2, 0, 321
1760720528, meta, 10, 28, 2, 0, 373
1760720529, meta, 100, 28, 2, 0, 353
1760720531, meta, 100, 28, 2, 0, 377
1760720531, meta, 1000, 889, 3, 0, 355
1760720534, meta, 1000, 889, 3, 0, 434
1760720534, meta, 3000, 2714, 3, 0, 443
1760720537, meta, 3000, 2714, 3, 0, 436
1760720537, meta, 10000, 9975, 11, 0, 1002
1760720540, meta, 10000, 9975, 12, 0, 1014
1760720541, meta, 30000, 30796, 10, 0, 2330
1760720545, meta, 30000, 30796, 218, 0, 5058
1760720551, meta, 100000, 105901, 12, 0, 9271
1760720562, meta, 100000, 105901, 24, 0, 2415
1760720738, meta, 10, 28, 2, 0, 271
1760720740, meta, 10, 28, 2, 0, 321
1760720740, meta, 100, 28, 2, 0, 408
1760720743, meta, 100, 28, 2, 0, 376
1760720743, meta, 1000, 889, 3, 0, 362
1760720746, meta, 1000, 889, 3, 0, 368
1760720746, meta, 3000, 2714, 3, 0, 384
1760720748, meta, 3000, 2714, 3, 0, 451
1760720749, meta, 10000, 9975, 11, 0, 986
1760720752, meta, 10000, 9975, 11, 0, 643
1760720752, meta, 30000, 30796, 12, 0, 2317
1760720757, meta, 30000, 30796, 11, 0, 920
1760720758, meta, 100000, 105903, 412, 0, 15483
1760720775, meta, 100000, 105903, 432, 0, 9120
1760720947, meta, 10, 28, 2, 0, 366
1760720949, meta, 10, 28, 2, 0, 266
1760720950, meta, 100, 28, 2, 0, 329
1760720952, meta, 100, 28, 2, 0, 353
1760720952, meta, 1000, 890, 2, 0, 386
1760720955, meta, 1000, 890, 2, 0, 405
1760720955, meta, 3000, 2715, 3, 0, 575
1760720958, meta, 3000, 2715, 3, 0, 456
1760720958, meta, 10000, 9975, 11, 0, 890
1760720961, meta, 10000, 9975, 3, 0, 942
1760720962, meta, 30000, 30797, 68, 0, 3086
1760720967, meta, 30000, 30797, 74, 0, 1929
1760720969, meta, 100000, 105903, 13, 0, 9163
1760720980, meta, 100000, 105903, 9, 0, 9471
1760721159, meta, 10, 28, 2, 0, 377
1760721162, meta, 10, 28, 2, 0, 321
1760721162, meta, 100, 28, 2, 0, 399
1760721164, meta, 100, 28, 2, 0, 272
1760721165, meta, 1000, 889, 3, 0, 335
1760721167, meta, 1000, 889, 3, 0, 352
1760721167, meta, 3000, 2714, 3, 0, 485
1760721170, meta, 3000, 2714, 3, 0, 406
1760721170, meta, 10000, 9975, 11, 0, 980
1760721173, meta, 10000, 9975, 11, 0, 994
1760721174, meta, 30000, 30796, 11, 0, 2321
1760721179, meta, 30000, 30796, 10, 0, 2292
1760721181, meta, 100000, 105901, 8, 0, 9193
1760721192, meta, 100000, 105901, 9, 0, 2445
1760721372, meta, 10, 28, 2, 0, 378
1760721374, meta, 10, 28, 2, 0, 332
1760721375, meta, 100, 28, 2, 0, 368
1760721377, meta, 100, 28, 2, 0, 276
1760721377, meta, 1000, 889, 3, 0, 377
1760721380, meta, 1000, 889, 3, 0, 374
1760721380, meta, 3000, 2714, 3, 0, 466
1760721383, meta, 3000, 2714, 3, 0, 467
1760721383, meta, 10000, 9976, 11, 0, 988
1760721386, meta, 10000, 9976, 11, 0, 969
1760721387, meta, 30000, 30796, 264, 0, 5496
1760721395, meta, 30000, 30796, 11, 0, 2292
1760721397, meta, 100000, 105903, 457, 0, 15830
1760721415, meta, 100000, 105903, 22, 0, 9329
1760721662, meta, 10, 28, 2, 0, 368
